"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"30","부산광역시 기장군 기장읍 동부리","333","0333","0000","이진스카이빌","59.9700","202207","08","19,000","-","13","-","-","2004","차성서로 158-12","-","중개거래","부산 기장군","-"
"31","부산광역시 기장군 기장읍 동부리","158-3","0158","0003","서린에코빌아파트","59.2950","202207","07","14,900","-","4","-","-","1989","차성로326번길 19","-","중개거래","부산 기장군","-"
"32","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202207","02","17,900","-","1","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"33","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","84.9850","202206","28","31,000","-","13","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"34","부산광역시 기장군 기장읍 동부리","333","0333","0000","이진스카이빌","59.9700","202206","18","18,000","-","18","-","-","2004","차성서로 158-12","-","중개거래","부산 기장군","-"
"35","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202206","11","24,000","-","20","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"36","부산광역시 기장군 기장읍 동부리","377-2","0377","0002","동산백조","71.6100","202206","10","13,500","-","2","-","-","1991","차성동로142번길 12-8","-","중개거래","부산 기장군","-"
"37","부산광역시 기장군 기장읍 동부리","155-13","0155","0013","유한빌라","68.5100","202206","07","7,500","-","4","-","-","1991","차성로334번길 29","-","중개거래","부산 기장군","-"
"38","부산광역시 기장군 기장읍 동부리","364-2","0364","0002","부산기장포스코더샵","84.9056","202206","03","35,000","-","20","-","-","2004","차성동로116번길 12","-","중개거래","부산 기장군","-"
"39","부산광역시 기장군 기장읍 동부리","377-2","0377","0002","동산백조","71.6100","202205","30","8,750","-","6","-","-","1991","차성동로142번길 12-8","-","중개거래","부산 기장군","-"
